구분,일본,홍콩,대만,싱가폴,말레이시아,인도네시아,베트남,아시아기타,미국,서구기타
2015년01월,3749,554,1061,1211,1383,1799,593,767,315,1382
2015년02월,3855,906,1231,921,1380,908,952,553,400,1651
2015년03월,5651,3186,831,2231,4626,2842,4437,2595,857,3319
2015년04월,7663,3686,3609,4032,6300,3392,7846,6214,2907,7878
2015년05월,14641,2188,1804,2507,2890,2483,2602,2698,2497,7602
2015년06월,3760,1419,1096,1332,1722,1515,1412,2339,1736,6100
2015년07월,1650,329,169,428,419,1752,651,2236,1235,7810
2015년08월,7037,925,348,598,674,504,832,2475,1252,7153
2015년09월,4685,4530,1784,1533,1856,880,1007,2592,1866,7314
2015년10월,3109,2154,2088,3144,4490,1324,2724,2940,1807,9748
2015년11월,1662,1598,2022,3610,5056,1224,2854,3262,1057,8694
2015년12월,1771,1257,1796,8073,9096,4084,896,2074,969,6563
2016년01월,1646,646,1927,1485,1886,1754,770,2152,779,5398
2016년02월,1942,1115,2142,1414,3467,1494,3069,1744,1389,5200
2016년03월,3471,2257,1874,1876,4793,3050,2739,2590,2415,8475
2016년04월,5479,4241,2874,5554,7854,5735,3457,4388,3780,8996
2016년05월,7885,3961,2711,2616,3475,2416,1641,3807,2076,8778
2016년06월,3854,3688,3815,3524,3727,3866,1890,7759,2716,11099
2016년07월,4131,3988,4440,3741,3893,2501,2589,4004,3136,9457
2016년08월,4539,5307,4765,1413,1394,1627,1411,3793,4086,11504
2016년09월,4032,4278,4778,3563,2947,2432,1888,3110,4750,11986
2016년10월,5751,7955,4750,5894,6978,2766,2184,3523,4922,12592
2016년11월,3291,3885,2253,6670,9489,3126,1673,5256,1883,8383
2016년12월,2006,3436,1717,12816,16304,2940,1697,4834,2010,7969
2017년01월,1905,3109,1450,4014,5013,1524,1220,3338,1993,6777
2017년02월,1816,3058,1421,1578,4851,962,981,1503,1762,5128
2017년03월,2940,2609,1259,2569,4439,1521,1447,2696,3178,7919
2017년04월,4119,6066,2141,6786,10113,3439,2925,7117,4903,16365
2017년05월,3652,4959,2069,3711,5659,3015,2306,4266,3785,12044
2017년06월,6709,5519,3103,4468,5750,2780,2666,4232,3097,12520
2017년07월,4894,6532,3384,2655,2827,3205,4061,4913,3923,13965
2017년08월,7768,5247,3711,1147,1356,1043,1490,4666,2534,9938
2017년09월,6710,4344,3256,1313,959,780,1769,3943,2386,8234
2017년10월,5659,3919,3115,1270,1615,1427,3171,5061,2437,9235
2017년11월,6222,2061,2254,1219,1605,1311,1213,4065,1406,6320
2017년12월,2965,1529,1831,3002,5337,2058,1057,3894,1247,4777
2018년1월,3229,1298,1912,1295,4556,1771,1100,3325,848,3770
2018년2월,3045,1468,2485,594,3751,1118,722,2545,870,3659
2018년3월,5311,2721,3279,1269,4782,1774,1806,3507,2067,6520
2018년4월,5984,4146,2971,1401,6023,2439,3683,3119,2056,5463
2018년5월,7576,3843,3567,2322,5601,1564,2123,2631,1582,4869
2018년6월,8664,7080,5290,5881,8081,2470,3061,3000,2620,7370
2018년7월,9145,4910,4374,3694,5839,1869,3405,3266,3049,7210
2018년8월,11084,6192,6354,1828,3971,1815,3633,4297,3046,9307
2018년9월,7660,4985,4296,2183,6354,1643,2305,3970,4151,10525
2018년10월,10075,4916,5589,3094,6413,2081,2952,4810,4624,13059
2018년11월,9218,4468,5628,2440,6028,2608,2820,4907,3546,11052
2018년12월,5643,3058,5596,2571,6954,2389,2623,4344,2811,8453
